toinc,ttotex
262330,156887
91958,86680
104703,107844
112035,77217
89855,96372
41723,40153
134937,158223
96043,86587
132926,166528
146090,105754
140073,109846
42292,40999
130736,135305
96594,96733
114893,119620
81861,73944
55620,42893
138678,101586
62058,60705
86194,82484
176350,132216
69890,70913
96290,130770
52446,44549
73651,70833
84802,56708
47386,46138
35774,39714
73830,61764
91356,91827
117760,94974
100796,105400
89140,79253
164648,104686
140705,145441
116974,134678
26190,26081
57086,56421
123302,107515
111458,100720
130541,118570
181893,175030
237047,195934
239934,203518
97551,75203
157857,134220
39009,34608
83693,82587
183390,166609
207142,180274
210634,170158
109711,87378
146710,129582
302153,222795
194954,180429
294190,174988
273215,218797
349383,146540
117043,92367
146410,126508
144410,113194
117176,94470
120534,109565
140981,112218
191865,163036
119845,103832
361910,209600
82955,72046
118560,114837
178979,132599
150798,147690
63402,71543
656748,224707
205831,148786
198933,148778
72940,80223
194063,202042
109485,108867
226162,145611
97002,82398
136958,101604
174037,205091
157830,123926
227615,192052
85692,82716
134257,139260
175357,158811
125855,95550
121691,131492
390061,281496
232193,90306
287661,260168
280096,236174
385810,268800
163807,96939
54035,64645
75496,84094
40696,25210
98747,99036
510130,292317
142217,103551
130159,103766
47445,41673
142008,114696
104590,74049
84076,74575
122813,87262
246050,150351
150138,78170
134950,131770
131316,117317
171721,157671
153348,96870
263713,225623
221948,153962
214900,175009
84623,86551
118786,126633
63440,65602
96747,90385
129941,133577
162566,152849
141277,93406
109641,99261
107065,113979
646255,286608
232704,159626
111983,79185
46286,52533
91187,74427
155060,117994
125767,113521
102636,86640
92428,78086
152926,117938
243375,226493
87613,62935
133503,151291
91174,83929
136119,129755
166851,154300
462344,235146
354463,243079
115768,98126
176945,167404
147434,116083
134149,116800
50988,47409
219667,170148
150762,108526
293325,214785
651074,493984
172440,111683
84026,73392
196823,177578
258218,229519
160810,119392
155279,152695
321062,251156
342907,270324
159055,125214
403108,324391
119152,105575
139985,133644
137229,101365
65487,56764
106689,74334
211176,184946
113647,109989
191600,199085
124316,100663
149049,105838
84822,64606
112034,91543
340050,216374
95650,92542
148455,132028
98974,91631
138735,98271
177565,135020
138480,127136
93981,66160
356850,212014
146330,103006
114724,101045
201050,208282
559233,349478
149986,143442
228286,185296
107865,94608
97614,74870
116220,125752
98401,92192
132177,107403
171669,101803
72120,68922
292142,246083
159524,119047
85039,77947
89279,106026
112182,101512
234106,165221
253350,176568
54685,54956
158914,109082
163871,161366
138290,115592
198561,181923
210814,140045
198845,156427
810496,493968
101688,107757
210236,156224
221465,196088
43099,41099
262888,217620
268382,232228
826522,500448
325660,333001
836272,430378
473678,396369
200130,152750
81436,78452
163998,122239
372618,330901
221716,165522
243948,227736
504872,320132
295085,226087
427342,250075
1713042,1177033
156456,133848
407483,405719
356476,245026
199869,169042
205010,171033
358500,343388
157652,169463
122406,111084
86048,90038
412020,423140
64320,65139
209130,164000
126737,146514
467176,456978
293349,195600
39163,23623
291229,198010
123988,80029
397965,262468
340549,269771
48288,33804
96973,88361
191728,157539
298820,274580
112825,94703
89740,64361
326519,197947
108982,77652
139793,104220
394418,357324
167638,115745
464417,332930
73330,70562
201507,232995
199920,182111
270685,243844
186547,140736
454429,432055
95040,100742
71942,45725
88110,61703
107373,64756
92908,89486
95236,53828
602093,321131
124942,100562
816473,610269
183790,122310
213053,141677
188648,168638
276662,209048
425947,343052
261922,91742
417684,293920
210735,152310
1522522,833882
68884,61980
173220,138305
435565,292788
208505,175562
148185,114159
82243,53366
458310,294079
141013,94577
234907,185755
103216,76455
148740,102288
73048,56401
83547,67983
42118,34569
28081,20244
86823,56610
171838,86489
102610,40079
31693,27217
68218,61674
129429,101849
133259,117787
40490,32109
42993,29250
48565,36387
52656,47202
60605,40515
114702,114674
49833,41625
77850,61344
73515,54181
122747,106354
143152,125646
95882,86484
144861,117977
76444,80567
108677,98069
82974,65392
97150,90438
188786,190713
105590,96658
159007,145721
94787,87666
184011,159824
41728,34789
101090,86967
925501,622375
110270,97361
78166,71896
130099,135713
181059,173320
121681,87218
173248,137121
154729,133509
164735,133171
266011,195340
137838,112124
342385,319362
46856,40680
279720,223455
182270,181582
308854,252982
132303,149958
25013,24563
850162,398177
58955,54851
110542,86389
614900,380945
185066,160395
982436,957692
650671,269016
904965,445181
1069624,572799
574885,352220
627722,283750
433075,430286
226878,201230
412780,273765
126934,137077
41236,25070
150827,121190
99549,80983
414771,380384
74854,67862
58148,59745
197097,152767
189976,140910
78439,68616
188131,97870
42379,36044
140484,105092
205422,178291
190236,177087
173309,147022
138236,137864
94901,104307
92460,74236
244210,285384
123662,129022
102522,88486
380047,305259
190630,201080
177029,109699
94817,98062
324904,108688
208292,102236
41221,34666
58949,53460
153519,96803
62624,49400
75869,81670
67794,82852
81793,49739
71088,73427
157738,119795
299859,232285
67548,56206
140735,92236
133007,81526
108531,74469
238729,174051
118365,102823
112873,89398
161910,177563
11815988,1945832
877048,373776
195279,160058
311458,263489
74621,64163
418041,231326
119043,186403
125212,96317
64030,69782
346078,131845
76288,70176
181042,141480
145082,130901
118355,98425
141114,110278
109872,94089
116622,100037
128442,101265
103085,90013
108472,96497
94680,81449
137442,112693
133328,117945
144350,116368
194080,177724
108242,94261
134415,112861
102820,85493
72237,54964
202615,177996
223190,208703
166379,148767
115930,101625
234305,203969
102305,81216
100800,86561
105580,84904
130170,113246
109935,93666
303701,266808
104458,72224
128330,93271
157822,128104
147420,133896
101880,79588
193575,183888
159730,137878
173848,161798
173425,146549
111388,87995
247220,232054
68480,51786
127050,107045
119550,108899
100392,89578
357260,337523
134145,123490
104881,91958
88635,72028
142285,131513
139640,121294
136485,118456
126425,85435
67135,55102
125740,106052
189060,165630
93185,79691
241410,206700
115430,95528
72815,60119
103770,93974
152985,118317
122575,82075
140610,121047
130825,115893
161105,144754
114175,103231
95873,84315
181390,145860
108630,96005
163475,138903
117230,102310
292260,274061
196460,166184
206290,183279
180370,171878
255200,235210
78980,69003
59460,45764
162350,150779
616250,497590
315470,277473
93045,49747
358100,325388
75357,66571
89990,79318
61265,51244
97425,57387
76250,53062
86415,73472
82474,71717
62495,51057
91813,75661
113982,98123
65592,56808
112398,96733
105513,95240
101233,88744
67052,51747
87665,76925
81898,70370
100157,84641
77352,67900
84171,73337
80605,61829
75340,65697
119570,104872
103537,88585
89820,74688
81315,71536
118756,107844
119160,101483
113421,92248
107104,94543
124477,113764
106390,92827
106420,87460
103339,86305
116134,104330
95764,78427
108295,91806
125493,112290
114690,96987
98220,84982
119505,106616
123174,111957
118989,100453
86042,73225
92680,82444
103759,84966
82820,72398
88704,77285
101610,82763
100725,88583
120010,105727
127570,101740
138840,129176
95290,85120
102225,88616
129720,112044
99990,90207
107850,96180
99300,79246
117830,107161
98450,85120
337464,234381
321050,386209
184162,226786
1411792,917387
163053,140113
415341,320250
414998,497101
213460,277563
205508,240445
250305,206421
374862,554066
1541760,646484
596805,544611
258622,352266
1222260,965395
202687,237782
701011,435373
443065,493720
164328,229116
125834,160406
257444,82375
117568,110359
183664,192664
256316,181523
323451,214004
